id,name,code,scale,contained_in,slug
108828-cc-sud-luberon-cotelub,CC Sud-Luberon (COTELUB),248400285,Ad-hoc,,
108989-france-metropolitaine,France métropolitaine,FRA-MET,Ad-hoc,,
108990-outre-mer,Outre-mer,FRA-OM,Ad-hoc,,
108992-massif-central,Massif central,MdCe,Ad-hoc,,
108993-ile-de-france-et-normandie,Île-de-France et Normandie,R_IDF_NORMANDIE,Ad-hoc,,
108995-france-hors-corse-et-outre-mer,France hors Corse et Outre-mer,France restreint,Ad-hoc,,
108996-petr-du-pays-lauragais,PETR du Pays Lauragais,PETRPL,Ad-hoc,,
108997-communes-des-quartiers-prioritaires-de-la-politique-de-la-ville,Communes des quartiers prioritaires de la politique de la ville,QPV,Ad-hoc,,
108998-rhone-mediterranee-corse-bassin-hydrographique,Rhône-Méditerranée-Corse (Bassin hydrographique),RMC,Ad-hoc,,
108999-programme-national-de-renouvellement-urbain-npnru-quartiers-d-interet-national-et-regional,Programme national de renouvellement urbain (NPNRU) quartiers d’intérêt national et régional,NPNRU 2020,Ad-hoc,,
109001-petr-du-pays-tolosan,PETR du Pays Tolosan,PETRPT,Ad-hoc,,
109002-auvergne,Auvergne,AUV,Ad-hoc,,
109003-rhone-alpes,Rhône-Alpes,RHAL,Ad-hoc,,
109004-aquitaine,Aquitaine,AQU,Ad-hoc,,
109005-poitou-charentes,Poitou-Charentes,POCH,Ad-hoc,,
109006-limousin,Limousin,LIM,Ad-hoc,,
109007-haute-normandie,Haute-Normandie,HANO,Ad-hoc,,
109008-basse-normandie,Basse-Normandie,BANO,Ad-hoc,,
109011-picardie,Picardie,PIC,Ad-hoc,,
109012-nord-pas-de-calais,Nord-Pas-de-Calais,NPDC,Ad-hoc,,
109013-bourgogne,Bourgogne,BOU,Ad-hoc,,
109014-midi-pyrenees,Midi-Pyrénées,MIPY,Ad-hoc,,
109015-languedoc-roussillon,Languedoc-Roussillon,LARO,Ad-hoc,,
109016-franche-comte,Franche-Comté,FRCO,Ad-hoc,,
109017-alsace,Alsace,ALS,Ad-hoc,,
109018-lorraine,Lorraine,LOR,Ad-hoc,,
109019-champagne-ardenne,Champagne-Ardenne,CHAR,Ad-hoc,,
109020-communes-moyennes-du-grand-est,Communes moyennes du Grand Est,VMGE,Ad-hoc,,
109021-bourgs-structurants-en-milieu-rural-du-grand-est,Bourgs structurants en milieu rural du Grand Est,BSMRGE,Ad-hoc,,
109022-communes-littorales,Communes littorales,LIT,Ad-hoc,,
109023-communes-littorales-de-mediterranee,Communes littorales de Méditerranée,MED,Ad-hoc,,
109026-petr-du-pays-sud-toulousain,PETR du Pays Sud Toulousain,PETRPST,Ad-hoc,,
109027-est-ensemble-ept,Est Ensemble (EPT),Est Ensemble EPT,Ad-hoc,,
109029-petr-du-pays-portes-de-gascogne,PETR du Pays Portes de Gascogne,PETRPG,Ad-hoc,,
109030-petr-du-pays-garonne-quercy-gascogne,PETR du Pays Garonne Quercy Gascogne,PETRGQG,Ad-hoc,,
109032-espaces-urbains-structurants-du-grand-est,Espaces Urbains Structurants du Grand Est,EUSGE,Ad-hoc,,
109033-le-grand-clermont,Le Grand Clermont,GrandClermont,Ad-hoc,,
109034-plaine-commune-ept,Plaine Commune (EPT),Plaine Commune,Ad-hoc,,
109035-grand-orly-seine-bievre-ept,Grand-Orly Seine Bièvre (EPT),Grand-Orly Seine,Ad-hoc,,
109036-arc-de-l-innovation,Arc de l'innovation,Arc de l'innovat,Ad-hoc,,
109038-pays-des-vallons-de-vilaine,Pays des Vallons de Vilaine,Pays des vallons,Ad-hoc,,
109039-grand-paris-sud-est-avenir-ept,Grand Paris Sud Est Avenir (EPT),Grand Paris Sud,Ad-hoc,,
109040-paris-est-marne-et-bois-ept,Paris-Est-Marne et Bois (EPT),Paris-Est-Marne,Ad-hoc,,
109041-paris-terres-d-envol-ept,Paris Terres d'Envol (EPT),Paris Terres Env,Ad-hoc,,
109042-grand-paris-grand-est-ept,Grand Paris Grand Est (EPT),Grand Paris,Ad-hoc,,
109043-boucle-nord-de-seine-ept,Boucle Nord de Seine (EPT),Boucle Nord Sein,Ad-hoc,,
109044-paris-ouest-la-defense-ept,Paris Ouest La Défense (EPT),Paris Ouest Def,Ad-hoc,,
109045-grand-paris-seine-ouest-ept,Grand Paris Seine Ouest (EPT),Grand Paris Sein,Ad-hoc,,
109046-vallee-sud-grand-paris-ept,Vallée Sud-Grand Paris (EPT),Vallée Sud-Grand,Ad-hoc,,
109047-bassins-hydrographiques-artois-picardie-seine-normandie-loire-bretagne-adour-garonne,"Bassins hydrographiques Artois-Picardie, Seine-Normandie, Loire-Bretagne , Adour-Garonne",BHAPSNLBAG,Ad-hoc,,
109050-communes-littorales-de-la-manche-et-de-la-mer-du-nord,Communes littorales de la Manche et de la Mer du Nord,MANCHE,Ad-hoc,,
109051-communes-littorales-de-l-atlantique,Communes littorales de l’Atlantique,ATL,Ad-hoc,,
109052-communes-littorales-de-la-manche-et-de-l-atlantique,Communes littorales de la Manche et de l'Atlantique,MANCHE+ATL,Ad-hoc,,
109053-pnr-des-prealpes-d-azur-parc-naturel-regional,PNR des Préalpes d'Azur (Parc naturel régional),PNR-FR8000049,Ad-hoc,,
109054-saint-pierre-et-miquelon,Saint-Pierre-et-Miquelon,975,Ad-hoc,,
109055-saint-barthelemy,Saint-Barthélemy,977,Ad-hoc,,
109056-saint-martin,Saint-Martin,978,Ad-hoc,,
109057-terres-australes-et-antarctiques-francaises,Terres australes et antarctiques françaises,984,Ad-hoc,,
109058-wallis-et-futuna,Wallis et Futuna,986,Ad-hoc,,
109059-polynesie-francaise,Polynésie française,987,Ad-hoc,,
109060-nouvelle-caledonie,Nouvelle-Calédonie,988,Ad-hoc,,
109061-ile-de-clipperton,Île de Clipperton,989,Ad-hoc,,
109165-scot-du-pays-de-saint-louis-et-des-trois-frontieres,SCOT DU PAYS DE SAINT-LOUIS  ET DES TROIS FRONTIERES,SCOT-283,Ad-hoc,,
109166-scot-cc-loches-sud-touraine,SCOT CC LOCHES SUD TOURAINE,SCOT-10426,Ad-hoc,,
109167-scot-du-seuil-du-poitou,SCOT DU SEUIL DU POITOU,SCOT-5574,Ad-hoc,,
109168-scot-de-balagne,SCOT DE BALAGNE,SCOT-5963,Ad-hoc,,
109169-scot-la-rochelle-aunis,SCOT LA ROCHELLE - AUNIS,SCOT-237,Ad-hoc,,
109170-scot-du-cognacais,SCOT DU COGNACAIS,SCOT-10387,Ad-hoc,,
109171-scot-du-coeur-d-herault,SCOT DU COEUR D'HERAULT,SCOT-10258,Ad-hoc,,
109172-scot-bande-rhenane-nord,SCOT BANDE RHENANE NORD,SCOT-276,Ad-hoc,,
109173-scot-du-pays-du-cotentin,SCOT DU PAYS DU COTENTIN,SCOT-259,Ad-hoc,,
109174-scot-de-l-agglomeration-du-choletais,SCOT DE L'AGGLOMERATION DU CHOLETAIS,SCOT-257,Ad-hoc,,
109175-scot-du-pays-bourian,SCOT DU PAYS BOURIAN,SCOT-10341,Ad-hoc,,
109176-scot-albret-communaute,SCOT  ALBRET COMMUNAUTE,SCOT-10303,Ad-hoc,,
109177-scot-marne-ourcq,SCOT MARNE OURCQ,SCOT-10021,Ad-hoc,,
109178-scot-du-calaisis,SCOT DU CALAISIS,SCOT-273,Ad-hoc,,
109179-scot-du-vexin-thelle,SCOT DU VEXIN THELLE,SCOT-6240,Ad-hoc,,
109180-scot-du-pays-de-la-vallee-de-la-sarthe,SCOT DU PAYS DE LA VALLEE DE LA SARTHE,SCOT-7079,Ad-hoc,,
109181-scot-sophia-antipolis,SCOT SOPHIA-ANTIPOLIS,SCOT-930,Ad-hoc,,
109182-scot-du-nord-grande-terre,SCOT DU NORD GRANDE TERRE,SCOT-10484,Ad-hoc,,
109183-scot-du-pays-castelroussin-val-de-l-indre,SCOT DU PAYS CASTELROUSSIN VAL DE L'INDRE,SCOT-60,Ad-hoc,,
109184-scotan,SCOTAN,SCOT-123,Ad-hoc,,
109185-scot-haut-cantal-dordogne,SCOT HAUT CANTAL DORDOGNE,SCOT-10412,Ad-hoc,,
109186-scot-d-arc-sud-bretagne,SCOT D'ARC SUD BRETAGNE,SCOT-5523,Ad-hoc,,
109187-scot-vallee-de-l-isle-en-perigord,SCOT VALLEE DE L'ISLE EN PERIGORD,SCOT-10415,Ad-hoc,,
109188-scot-d-amboise-blere-chateau-renault,SCOT D'AMBOISE - BLERE - CHATEAU-RENAULT,SCOT-1019,Ad-hoc,,
109189-scot-loue-lison,SCOT LOUE-LISON,SCOT-10458,Ad-hoc,,
109190-scot-de-la-bresse-bourguignonne,SCOT DE LA BRESSE BOURGUIGNONNE,SCOT-10202,Ad-hoc,,
109191-scot-pays-gde-sologne,SCOT PAYS GDE SOLOGNE,SCOT-10408,Ad-hoc,,
109192-scot-du-pays-daubagne-et-de-l-etoile,SCOT DU PAYS DAUBAGNE ET DE L'ETOILE,SCOT-3223,Ad-hoc,,
109193-scot-du-pays-thouarsais,SCOT DU PAYS THOUARSAIS,SCOT-10256,Ad-hoc,,
109194-scot-du-pays-de-montbeliard,SCOT DU PAYS DE MONTBELIARD,SCOT-38,Ad-hoc,,
109195-scot-du-pays-de-craon,SCOT DU PAYS DE CRAON,SCOT-1304,Ad-hoc,,
109196-scot-du-pays-bellegardien,SCOT DU PAYS BELLEGARDIEN,SCOT-4037,Ad-hoc,,
109197-scot-des-sablons,SCOT DES SABLONS,SCOT-6364,Ad-hoc,,
109198-scot-ol,SCOT OL,SCOT-5847,Ad-hoc,,
109199-scot-pays-de-la-saintonge-romane,SCOT PAYS DE LA SAINTONGE ROMANE,SCOT-32,Ad-hoc,,
109200-scot-coulommiers-pays-de-brie,SCOT COULOMMIERS PAYS DE BRIE,SCOT-1614,Ad-hoc,,
109201-scot-du-perigord-noir,SCOT DU PERIGORD NOIR,SCOT-10473,Ad-hoc,,
109202-scot-osartis-marquion,SCOT  OSARTIS-MARQUION,SCOT-628,Ad-hoc,,
109203-scot-rhin-vignoble-grand-ballon,SCOT RHIN-VIGNOBLE-GRAND-BALLON,SCOT-281,Ad-hoc,,
109204-scot-du-bassin-d-aurillac-du-carlades-et-de-la-chataignerai,"SCOT DU BASSIN D'AURILLAC, DU CARLADES ET DE LA CHATAIGNERAI",SCOT-10285,Ad-hoc,,
109205-scot-du-pays-de-lunel,SCOT DU PAYS DE LUNEL,SCOT-53,Ad-hoc,,
109206-scot-du-grand-dax,SCOT DU GRAND DAX,SCOT-66,Ad-hoc,,
109207-scot-du-grand-sud,SCOT DU GRAND SUD,SCOT-1490,Ad-hoc,,
109208-scot-de-l-arrondissement-de-sarreguemines,SCOT DE L'ARRONDISSEMENT DE SARREGUEMINES,SCOT-1037,Ad-hoc,,
109209-scot-gally-mauldre,SCOT GALLY-MAULDRE,SCOT-3042,Ad-hoc,,
109210-scot-sepal,SCOT SEPAL,SCOT-215,Ad-hoc,,
109211-scot-du-pays-de-langres,SCOT DU PAYS DE LANGRES,SCOT-10423,Ad-hoc,,
109212-scot-pays-adour-chalosse-tursan,SCOT PAYS ADOUR CHALOSSE TURSAN,SCOT-10225,Ad-hoc,,
109213-scot-nord-isere,SCOT NORD ISERE,SCOT-200,Ad-hoc,,
109214-scot-cap-atlantique,SCOT CAP-ATLANTIQUE,SCOT-951,Ad-hoc,,
109215-scot-nemours-gatinais,SCOT NEMOURS-GATINAIS,SCOT-10018,Ad-hoc,,
109216-scot-du-pays-de-brest,SCOT DU PAYS DE BREST,SCOT-1280,Ad-hoc,,
109217-scot-de-commercy-void-vaucouleurs,SCOT DE COMMERCY-VOID-VAUCOULEURS,SCOT-978,Ad-hoc,,
109218-scot-du-golfe-de-st-tropez,SCOT DU GOLFE DE ST TROPEZ,SCOT-151,Ad-hoc,,
109219-scot-du-pays-d-issoudun,SCOT DU PAYS D'ISSOUDUN,SCOT-10452,Ad-hoc,,
109220-scot-lacs-et-gorges-du-verdon,SCOT LACS ET GORGES DU VERDON,SCOT-10467,Ad-hoc,,
109221-scot-sud-vendee-littoral,SCOT SUD-VENDEE LITTORAL,SCOT-10400,Ad-hoc,,
109222-scot-du-pays-basque-et-du-seignanx,SCOT DU PAYS BASQUE ET DU SEIGNANX,SCOT-120,Ad-hoc,,
109223-scot-territoire-de-belfort,SCOT TERRITOIRE DE BELFORT,SCOT-166,Ad-hoc,,
