id,slug,text,perimeter,group_id,group_name
15-commission-europeenne,commission-europeenne,Commission européenne,France,73.0,Commission européenne
22-ademe,ademe,ADEME,France,48.0,ADEME - GENERIQUE
25-mission-interministerielle-pour-la-qualite-des-con,mission-interministerielle-pour-la-qualite-des-con,Mission interministérielle pour la qualité des constructions publiques (MIQCP),France,75.0,Direction / délégation / mission  interministérielle et Secrétariat général
26-ministeres-de-lamenagement-du-territoire-et-de-la-transition-ecologique,ministeres-de-lamenagement-du-territoire-et-de-la-transition-ecologique,Ministères de l'Aménagement du territoire et de la Transition écologique,France,102.0,Ministère de la Transition Ecologique (MTE)
27-office-francais-de-la-biodiversite-ofb,office-francais-de-la-biodiversite-ofb,Office Français de la Biodiversité (OFB),France,117.0,Office français de la biodiversité (OFB)
33-dreets,dreets,"Directions régionales de l’économie, de l’emploi, du travail et des solidarités (DREETS)",,80.0,"Directions régionales de l’Economie, de l’Emploi, du Travail et des Solidarités (DREETS) - GENERIQUE"
40-region-ile-de-france,region-ile-de-france,Conseil régional d'Ile de France,Île-de-France,2.0,Conseil régional (CR)
46-ministere-des-outre-mer,ministere-des-outre-mer,Ministère des Outre-mer,Outre-mer,104.0,Ministère des Outre-mer
47-centre-national-pour-le-developpement-du-sport,centre-national-pour-le-developpement-du-sport,Centre National pour le Développement du Sport,,46.0,Établissement public national (autre)
48-agence-francaise-de-developpement,agence-francaise-de-developpement,Agence Française de Développement (AFD),France,46.0,Établissement public national (autre)
51-dgcl,dgcl,Direction générale des collectivités locales (DGCL),France,98.0,Ministère de la Cohésion des Territoires et des Relations avec les Collectivités Territoriales (MCTRCT)
53-agence-de-leau-rhone-mediterranee-corse,agence-de-leau-rhone-mediterranee-corse,Agence de l'eau Rhône-Méditerranée-Corse,Rhône-Méditerranée-Corse (Bassin hydrographique),19.0,Agence de l'eau
54-collectivite-de-corse,collectivite-de-corse,Collectivité de Corse,Corse,4.0,EPCI (hors métropoles) OU Établissement public territorial (EPT)
58-cerema,cerema,Cerema,France,66.0,CEREMA
61-mairie-de-saint-laurent,mairie-de-saint-laurent,Mairie de Saint-Laurent,,,
62-mairie-dawala-yalimapo,mairie-dawala-yalimapo,Mairie d'Awala-Yalimapo,,,
63-mairie-de-regina-kwa,mairie-de-regina-kwa,Mairie de Régina-Kwa,,,
64-mairie-de-cayenne,mairie-de-cayenne,Mairie de Cayenne,,,
67-office-du-developpement-agricole-et-rural-de-corse,office-du-developpement-agricole-et-rural-de-corse,Office du Développement Agricole et Rural de Corse (ODARC),Corse,46.0,Établissement public national (autre)
68-agence-nationale-de-lhabitat-anah,agence-nationale-de-lhabitat-anah,Agence Nationale de l'Habitat (ANAH),,86.0,Agence Nationale de l'Habitat (ANAH)
69-collectivite-territoriale-de-guyane,collectivite-territoriale-de-guyane,Collectivité Territoriale de Guyane,Guyane,4.0,EPCI (hors métropoles) OU Établissement public territorial (EPT)
70-mairie-de-mana,mairie-de-mana,Mairie de Mana,,,
